time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
1.525,N2,0.4351,0.2237,0.3114,0.2325,curious,0.374,0.0
1.533333,N2,0.4546,0.2557,0.2767,0.2471,joyful,0.386,0.0
1.541667,N2,0.4428,0.2799,0.2874,0.231,neutral,0.431,0.0
1.55,N2,0.4331,0.252,0.2734,0.1995,neutral,0.416,0.0
1.558333,N2,0.4551,0.2601,0.2232,0.2334,joyful,0.438,0.0
1.566667,N2,0.4412,0.2379,0.2776,0.2006,neutral,0.411,0.0
1.575,N2,0.4686,0.2447,0.2942,0.2414,joyful,0.426,0.0
1.583333,N2,0.4819,0.244,0.3073,0.2531,joyful,0.358,0.0
1.591667,N2,0.4453,0.2513,0.2672,0.2425,curious,0.423,0.0
1.6,N2,0.483,0.2575,0.288,0.2058,melancholic,0.43,0.0
1.608333,N2,0.4814,0.2635,0.2794,0.2105,curious,0.399,0.0
1.616667,N2,0.4222,0.2508,0.2744,0.2355,neutral,0.42,0.0
1.625,N2,0.4158,0.2602,0.2985,0.2159,joyful,0.427,0.0
1.633333,N2,0.4564,0.2734,0.2569,0.2205,anxious,0.469,0.0
1.641667,N2,0.4609,0.2614,0.3039,0.2309,joyful,0.409,0.0
1.65,N2,0.463,0.2516,0.2789,0.2362,joyful,0.385,0.0
1.658333,N2,0.4615,0.2348,0.2844,0.2272,melancholic,0.469,0.0
1.666667,N2,0.4727,0.2547,0.2768,0.2006,neutral,0.499,0.0
1.675,N2,0.431,0.2581,0.24,0.1993,fearful,0.449,0.0
1.683333,N2,0.4505,0.2401,0.2719,0.2239,neutral,0.42,0.0
1.691667,N2,0.4669,0.2866,0.2664,0.2127,neutral,0.455,0.0
1.7,N2,0.4463,0.2487,0.3065,0.2354,joyful,0.447,0.0
1.708333,N2,0.4786,0.2629,0.265,0.2316,neutral,0.397,0.0
1.716667,N2,0.449,0.231,0.3126,0.2486,neutral,0.416,0.0
1.725,N2,0.4425,0.2794,0.2648,0.2028,neutral,0.398,0.0
1.733333,N2,0.4628,0.245,0.2741,0.2033,joyful,0.415,0.0
1.741667,N2,0.4532,0.2405,0.2616,0.1671,neutral,0.395,0.0
1.75,N2,0.4525,0.2867,0.2678,0.1881,anxious,0.417,0.0
1.758333,N2,0.4461,0.2376,0.2343,0.1998,joyful,0.426,0.0
1.766667,N2,0.4564,0.2115,0.2934,0.2326,curious,0.419,0.0
1.775,N2,0.4453,0.2348,0.2657,0.2271,joyful,0.43,0.0
1.783333,N2,0.4229,0.2445,0.297,0.2282,fearful,0.405,0.0
1.791667,N2,0.4233,0.2661,0.2693,0.186,joyful,0.411,0.0
1.8,N2,0.4586,0.2294,0.3075,0.1972,neutral,0.415,0.0
1.808333,N2,0.4128,0.2416,0.2996,0.1935,curious,0.404,0.0
1.816667,N2,0.4082,0.2324,0.2669,0.1992,serene,0.415,0.0
1.825,N2,0.414,0.2585,0.2958,0.2047,fearful,0.458,0.0
1.833333,N3,0.302,0.1884,0.1878,0.1727,neutral,0.35,0.0
1.841667,N3,0.3399,0.1931,0.2145,0.1867,serene,0.347,0.0
1.85,N3,0.3105,0.1985,0.1836,0.177,fearful,0.35,0.0
1.858333,N3,0.2972,0.171,0.1723,0.1953,neutral,0.35,0.0
1.866667,N3,0.2741,0.182,0.1725,0.2043,curious,0.35,0.0
1.875,N3,0.2964,0.1812,0.1924,0.221,neutral,0.35,0.0
1.883333,N3,0.3254,0.16,0.1875,0.1855,fearful,0.35,0.0
1.891667,N3,0.2617,0.1729,0.1742,0.1781,neutral,0.35,0.0
1.9,N3,0.268,0.1537,0.1971,0.2139,curious,0.35,0.0
1.908333,N3,0.2988,0.1939,0.2316,0.2163,fearful,0.35,0.0
1.916667,N3,0.2649,0.1775,0.2118,0.1987,anxious,0.35,0.0
1.925,N3,0.323,0.1645,0.2056,0.2226,anxious,0.35,0.0
1.933333,N3,0.3038,0.1969,0.2155,0.1709,neutral,0.35,0.0
1.941667,N3,0.2972,0.1483,0.1763,0.1471,curious,0.35,0.0
1.95,N3,0.2945,0.1992,0.1781,0.1718,neutral,0.35,0.0
1.958333,N3,0.2722,0.1727,0.1935,0.1955,serene,0.343,0.0
1.966667,N3,0.2797,0.1983,0.1873,0.1915,joyful,0.35,0.0
1.975,N3,0.2951,0.1827,0.2313,0.1614,joyful,0.35,0.0
1.983333,N3,0.284,0.1757,0.1826,0.2106,melancholic,0.35,0.0
1.991667,N3,0.2625,0.1634,0.2263,0.1768,curious,0.35,0.0
2.0,N3,0.3052,0.1806,0.1797,0.2065,neutral,0.35,0.0
2.008333,N3,0.3252,0.1861,0.2248,0.1878,curious,0.35,0.0
2.016667,N3,0.2984,0.1946,0.1973,0.1978,neutral,0.35,0.0
2.025,N3,0.2979,0.1774,0.1776,0.2126,anxious,0.336,0.0
2.033333,N3,0.2789,0.1571,0.2038,0.1878,curious,0.35,0.0
2.041667,N3,0.3172,0.1598,0.1943,0.1665,joyful,0.35,0.0
2.05,N3,0.2928,0.1882,0.2286,0.2058,neutral,0.35,0.0
2.058333,N3,0.2777,0.1933,0.2057,0.1972,melancholic,0.35,0.0
2.066667,N3,0.3052,0.1573,0.2184,0.2098,joyful,0.35,0.0
2.075,N3,0.2769,0.1932,0.1773,0.1837,curious,0.35,0.0
2.083333,N3,0.3107,0.1831,0.23,0.2142,neutral,0.35,0.0
2.091667,N3,0.3203,0.2071,0.1941,0.1859,curious,0.35,0.0
2.1,N3,0.3053,0.1973,0.2064,0.1938,neutral,0.35,0.0
2.108333,N3,0.3097,0.1967,0.186,0.2128,joyful,0.35,0.0
2.116667,N3,0.3075,0.2044,0.1821,0.1615,anxious,0.35,0.0
2.125,N3,0.301,0.1606,0.2126,0.2046,joyful,0.35,0.0
